suburb,lhd
Albion Park South,Murrumbidgee
Alexandria,Sydney
Bargo,South Western Sydney
Bathurst,Western NSW
Beresfield,Hunter New England
Bradfield Highway,South Eastern Sydney
Bringelly,South Western Sydney
Camden,South Western Sydney
Cammeray,Northern Sydney
Campbelltown West,South Western Sydney
Carrington,Hunter New England
Chullora,South Western Sydney
Coffs Harbour,Mid North Coast
Cook and Phillip,South Eastern Sydney
Earlwood,Sydney
Goulburn,Southern NSW
Gunnedah,Hunter New England
Katoomba,Nepean Blue Mountains
Kembla Grange,Illawarra Shoalhaven
Lidcombe,Western Sydney
Lindfield,Northern Sydney
Liverpool,South Western Sydney
Macarthur,South Western Sydney
Macquarie Park,Northern Sydney
Mayfield,Hunter New England
Merriwa,Hunter New England
Millthorpe,Western NSW
Morisset,Hunter New England
Muswellbrook,Hunter New England
Newcastle,Hunter New England
Oakdale,South Western Sydney
Parramatta North,Western Sydney
Penrith,Nepean Blue Mountains
Port Macquarie,Mid North Coast
Prospect,Western Sydney
Randwick,South Eastern Sydney
Richmond,Nepean Blue Mountains
Rouse Hill,Western Sydney
Rozelle,Sydney
Singleton,Hunter New England
Saint Marys,Nepean Blue Mountains
Stockton,Hunter New England
Tamworth,Hunter New England
Vineyard,Nepean Blue Mountains
Wagga Wagga,Murrumbidgee
Wagga Wagga North,Murrumbidgee
Wallsend,Hunter New England
Wollongong,Illawarra Shoalhaven
Wyong,Central Coast
