lhd,financial year,per cent
Sydney,2003/2004,11.2
Sydney,2004/2005,11.95
Sydney,2005/2006,12.85
Sydney,2006/2007,13.55
Sydney,2007/2008,14.399999999999999
Sydney,2008/2009,13.5
Sydney,2009/2010,11.5
Sydney,2010/2011,8.899999999999999
Sydney,2011/2012,8.75
Sydney,2012/2013,9.3
Sydney,2013/2014,8.95
Sydney,2014/2015,9.45
Sydney,2015/2016,10.1
Sydney,2016/2017,10.9
Sydney,2017/2018,10.3
South Western Sydney,2003/2004,15.75
South Western Sydney,2004/2005,13.8
South Western Sydney,2005/2006,12.8
South Western Sydney,2006/2007,13.1
South Western Sydney,2007/2008,14.3
South Western Sydney,2008/2009,15.25
South Western Sydney,2009/2010,15.55
South Western Sydney,2010/2011,15.7
South Western Sydney,2011/2012,16.4
South Western Sydney,2012/2013,16.7
South Western Sydney,2013/2014,15.0
South Western Sydney,2014/2015,11.7
South Western Sydney,2015/2016,10.7
South Western Sydney,2016/2017,12.5
South Western Sydney,2017/2018,13.350000000000001
South Eastern Sydney,2003/2004,13.0
South Eastern Sydney,2004/2005,12.9
South Eastern Sydney,2005/2006,11.850000000000001
South Eastern Sydney,2006/2007,10.15
South Eastern Sydney,2007/2008,9.0
South Eastern Sydney,2008/2009,9.2
South Eastern Sydney,2009/2010,10.4
South Eastern Sydney,2010/2011,13.100000000000001
South Eastern Sydney,2011/2012,13.65
South Eastern Sydney,2012/2013,12.05
South Eastern Sydney,2013/2014,9.95
South Eastern Sydney,2014/2015,9.15
South Eastern Sydney,2015/2016,9.45
South Eastern Sydney,2016/2017,9.2
South Eastern Sydney,2017/2018,10.35
Illawarra Shoalhaven,2003/2004,14.4
Illawarra Shoalhaven,2004/2005,13.600000000000001
Illawarra Shoalhaven,2005/2006,14.8
Illawarra Shoalhaven,2006/2007,16.299999999999997
Illawarra Shoalhaven,2007/2008,16.299999999999997
Illawarra Shoalhaven,2008/2009,14.75
Illawarra Shoalhaven,2009/2010,14.15
Illawarra Shoalhaven,2010/2011,14.9
Illawarra Shoalhaven,2011/2012,15.25
Illawarra Shoalhaven,2012/2013,14.3
Illawarra Shoalhaven,2013/2014,12.55
Illawarra Shoalhaven,2014/2015,11.85
Illawarra Shoalhaven,2015/2016,11.65
Illawarra Shoalhaven,2016/2017,11.05
Illawarra Shoalhaven,2017/2018,11.100000000000001
Western Sydney,2003/2004,15.55
Western Sydney,2004/2005,14.3
Western Sydney,2005/2006,13.100000000000001
Western Sydney,2006/2007,12.15
Western Sydney,2007/2008,10.6
Western Sydney,2008/2009,9.2
Western Sydney,2009/2010,9.55
Western Sydney,2010/2011,11.850000000000001
Western Sydney,2011/2012,14.75
Western Sydney,2012/2013,15.85
Western Sydney,2013/2014,14.25
Western Sydney,2014/2015,10.8
Western Sydney,2015/2016,7.1
Western Sydney,2016/2017,7.2
Western Sydney,2017/2018,9.600000000000001
Nepean Blue Mountains,2003/2004,15.95
Nepean Blue Mountains,2004/2005,14.5
Nepean Blue Mountains,2005/2006,13.5
Nepean Blue Mountains,2006/2007,13.75
Nepean Blue Mountains,2007/2008,15.0
Nepean Blue Mountains,2008/2009,16.15
Nepean Blue Mountains,2009/2010,17.45
Nepean Blue Mountains,2010/2011,18.7
Nepean Blue Mountains,2011/2012,17.75
Nepean Blue Mountains,2012/2013,16.450000000000003
Nepean Blue Mountains,2013/2014,15.4
Nepean Blue Mountains,2014/2015,14.65
Nepean Blue Mountains,2015/2016,15.55
Nepean Blue Mountains,2016/2017,16.65
Nepean Blue Mountains,2017/2018,17.6
Northern Sydney,2003/2004,10.899999999999999
Northern Sydney,2004/2005,10.899999999999999
Northern Sydney,2005/2006,10.95
Northern Sydney,2006/2007,11.6
Northern Sydney,2007/2008,12.1
Northern Sydney,2008/2009,12.149999999999999
Northern Sydney,2009/2010,12.649999999999999
Northern Sydney,2010/2011,13.8
Northern Sydney,2011/2012,15.3
Northern Sydney,2012/2013,16.799999999999997
Northern Sydney,2013/2014,17.45
Northern Sydney,2014/2015,16.3
Northern Sydney,2015/2016,15.3
Northern Sydney,2016/2017,15.2
Northern Sydney,2017/2018,14.75
Central Coast,2003/2004,16.700000000000003
Central Coast,2004/2005,18.15
Central Coast,2005/2006,18.6
Central Coast,2006/2007,17.65
Central Coast,2007/2008,15.600000000000001
Central Coast,2008/2009,14.65
Central Coast,2009/2010,17.2
Central Coast,2010/2011,17.95
Central Coast,2011/2012,17.0
Central Coast,2012/2013,15.65
Central Coast,2013/2014,15.35
Central Coast,2014/2015,15.7
Central Coast,2015/2016,14.4
Central Coast,2016/2017,12.55
Central Coast,2017/2018,11.149999999999999
Hunter New England,2003/2004,16.75
Hunter New England,2004/2005,16.450000000000003
Hunter New England,2005/2006,15.450000000000001
Hunter New England,2006/2007,15.350000000000001
Hunter New England,2007/2008,15.55
Hunter New England,2008/2009,15.9
Hunter New England,2009/2010,16.4
Hunter New England,2010/2011,17.049999999999997
Hunter New England,2011/2012,16.7
Hunter New England,2012/2013,15.45
Hunter New England,2013/2014,15.4
Hunter New England,2014/2015,16.3
Hunter New England,2015/2016,17.35
Hunter New England,2016/2017,17.1
Hunter New England,2017/2018,16.549999999999997
Northern NSW,2003/2004,11.1
Northern NSW,2004/2005,10.75
Northern NSW,2005/2006,11.75
Northern NSW,2006/2007,12.95
Northern NSW,2007/2008,12.85
Northern NSW,2008/2009,12.8
Northern NSW,2009/2010,12.8
Northern NSW,2010/2011,12.75
Northern NSW,2011/2012,11.65
Northern NSW,2012/2013,10.95
Northern NSW,2013/2014,11.5
Northern NSW,2014/2015,12.65
Northern NSW,2015/2016,12.5
Northern NSW,2016/2017,12.149999999999999
Northern NSW,2017/2018,13.0
Mid North Coast,2003/2004,14.649999999999999
Mid North Coast,2004/2005,13.8
Mid North Coast,2005/2006,12.350000000000001
Mid North Coast,2006/2007,11.3
Mid North Coast,2007/2008,12.05
Mid North Coast,2008/2009,12.100000000000001
Mid North Coast,2009/2010,10.350000000000001
Mid North Coast,2010/2011,8.3
Mid North Coast,2011/2012,9.25
Mid North Coast,2012/2013,13.75
Mid North Coast,2013/2014,17.950000000000003
Mid North Coast,2014/2015,19.1
Mid North Coast,2015/2016,16.700000000000003
Mid North Coast,2016/2017,13.05
Mid North Coast,2017/2018,11.850000000000001
Southern NSW,2003/2004,12.600000000000001
Southern NSW,2004/2005,13.350000000000001
Southern NSW,2005/2006,16.8
Southern NSW,2006/2007,19.4
Southern NSW,2007/2008,17.6
Southern NSW,2008/2009,14.0
Southern NSW,2009/2010,12.9
Southern NSW,2010/2011,14.15
Southern NSW,2011/2012,14.75
Southern NSW,2012/2013,13.35
Southern NSW,2013/2014,12.8
Southern NSW,2014/2015,12.75
Southern NSW,2015/2016,12.9
Southern NSW,2016/2017,13.3
Southern NSW,2017/2018,13.0
Murrumbidgee,2003/2004,15.149999999999999
Murrumbidgee,2004/2005,15.1
Murrumbidgee,2005/2006,16.2
Murrumbidgee,2006/2007,17.049999999999997
Murrumbidgee,2007/2008,16.45
Murrumbidgee,2008/2009,16.299999999999997
Murrumbidgee,2009/2010,16.95
Murrumbidgee,2010/2011,17.05
Murrumbidgee,2011/2012,16.4
Murrumbidgee,2012/2013,16.0
Murrumbidgee,2013/2014,18.0
Murrumbidgee,2014/2015,21.299999999999997
Murrumbidgee,2015/2016,23.799999999999997
Murrumbidgee,2016/2017,24.049999999999997
Murrumbidgee,2017/2018,21.7
Western NSW,2003/2004,19.75
Western NSW,2004/2005,19.0
Western NSW,2005/2006,17.3
Western NSW,2006/2007,15.45
Western NSW,2007/2008,15.100000000000001
Western NSW,2008/2009,17.15
Western NSW,2009/2010,20.1
Western NSW,2010/2011,20.4
Western NSW,2011/2012,19.85
Western NSW,2012/2013,18.3
Western NSW,2013/2014,17.15
Western NSW,2014/2015,15.65
Western NSW,2015/2016,14.1
Western NSW,2016/2017,12.85
Western NSW,2017/2018,12.4
Far West,2003/2004,17.5
Far West,2004/2005,13.85
Far West,2005/2006,12.1
Far West,2006/2007,11.7
Far West,2007/2008,11.2
Far West,2008/2009,10.8
Far West,2009/2010,11.95
Far West,2010/2011,15.8
Far West,2011/2012,19.450000000000003
Far West,2012/2013,19.05
Far West,2013/2014,15.7
Far West,2014/2015,14.6
Far West,2015/2016,14.45
Far West,2016/2017,13.65
Far West,2017/2018,12.1
