WKT,name,description
"POINT (148.8180856 -34.4392256)",Albion Park South,Murrumbidgee
"POINT (146.9135418 -36.0737293)",Albury,Albury Wodonga Health (Network with Victoria)
"POINT (151.1902576 -33.9080273)",Alexandria,Sydney

"POINT (150.5772064 -34.28291919999999)",Bargo,South Western Sydney
"POINT (149.5786977 -33.4111925)",Bathurst,Western NSW

"POINT (151.6509967 -32.8027136)",Beresfield,Hunter New England

"POINT (151.2066961 -33.8585618)",Bradfield Highway,South Eastern Sydney

"POINT (150.7156265 -33.9512283)",Bringelly,South Western Sydney
"POINT (150.6935958 -34.0659551)",Camden,South Western Sydney
"POINT (151.2102367 -33.8229724)",Cammeray,Northern Sydney

"POINT (150.8195571 -34.0666148)",Campbelltown West,South Western Sydney
"POINT (151.7657575 -32.9160349)",Carrington,Hunter New England

"POINT (151.0431637 -33.8986062)",Chullora,South Western Sydney

"POINT (153.1138924 -30.2962013)",Coffs Harbour,Mid North Coast

"POINT (151.2135448 -33.8731973)",Cook and Phillip,South Eastern Sydney

"POINT (151.1255927 -33.9241073)",Earlwood,Sydney

"POINT (149.7277447 -34.7479181)",Goulburn,Southern NSW

"POINT (150.2565037 -30.97943189999999)",Gunnedah,Hunter New England

"POINT (150.3117701 -33.7124469)",Katoomba,Nepean Blue Mountains
"POINT (150.8180768 -34.4705007)",Kembla Grange,Illawarra Shoalhaven

"POINT (151.0423034 -33.8616915)",Lidcombe,Western Sydney

"POINT (151.1693413 -33.7787851)",Lindfield,Northern Sydney

"POINT (150.9179595 -33.9285567)",Liverpool,South Western Sydney
"POINT (150.6103056 -34.1710702)",Macarthur,South Western Sydney
"POINT (151.122968 -33.7810467)",Macquarie Park,Northern Sydney

"POINT (151.73643 -32.89742)",Mayfield,Hunter New England

"POINT (150.3557351 -32.1393377)",Merriwa,Hunter New England

"POINT (149.1852205 -33.4459099)",Millthorpe,Western NSW

"POINT (151.4877925 -33.1083696)",Morisset,Hunter New England

"POINT (150.8888405 -32.2633254)",Muswellbrook,Hunter New England

"POINT (151.7816802 -32.9282712)",Newcastle,Hunter New England

"POINT (150.5085739 -34.0799357)",Oakdale,South Western Sydney
"POINT (151.0066248 -33.8025236)",Parramatta North,Western Sydney

"POINT (150.687674 -33.7506759)",Penrith,Nepean Blue Mountains
"POINT (152.9001817 -31.4349036)",Port Macquarie,Mid North Coast

"POINT (150.9176528 -33.7981153)",Prospect,Western Sydney

"POINT (151.2420352 -33.9131545)",Randwick,South Eastern Sydney

"POINT (150.7519067 -33.5991852)",Richmond,Nepean Blue Mountains
"POINT (150.9168942 -33.6840257)",Rouse Hill,Western Sydney

"POINT (151.1701171 -33.8638543)",Rozelle,Sydney

"POINT (151.1795485 -32.5682823)",Singleton,Hunter New England

"POINT (150.7734575 -33.769979)",Saint Marys,Nepean Blue Mountains
"POINT (151.7843888 -32.9161234)",Stockton,Hunter New England

"POINT (150.9320334 -31.092748)",Tamworth,Hunter New England

"POINT (150.8584327 -33.6464987)",Vineyard,Nepean Blue Mountains
"POINT (147.3598323 -35.1081689)",Wagga Wagga,Murrumbidgee
"POINT (147.377597 -35.0953711)",Wagga Wagga North,Murrumbidgee
"POINT (151.6696167 -32.9031005)",Wallsend,Hunter New England

"POINT (150.8931132 -34.4248336)",Wollongong,Illawarra Shoalhaven
"POINT (151.4249427 -33.2843475)",Wyong,Central Coast

